Area	Region	palmitic	palmitoleic	stearic	oleic	linoleic	linolenic	arachidic	eicosenoic	Test/Training
Calabria	South	1321	136	217	7174	950	43	63	30	Test
Calabria	South	1339	166	208	7190	923	40	69	25	Test
Calabria	South	1299	116	253	7309	823	40	69	27	Test
Calabria	South	1221	107	221	7441	798	54	70	28	Test
Calabria	South	1336	120	318	7083	915	50	70	38	Test
Calabria	South	1401	151	238	7164	857	45	72	36	Test
Calabria	South	1359	98	351	7262	780	41	56	16	Test
South-Apulia	South	1425	198	193	7032	1041	31	52	17	Test
South-Apulia	South	1361	163	196	6888	1273	37	58	24	Test
South-Apulia	South	1349	152	236	7145	949	35	75	29	Test
South-Apulia	South	1207	151	156	7159	1234	27	51	14	Test
South-Apulia	South	1732	231	156	6437	1313	45	62	23	Test
South-Apulia	South	1451	199	221	6835	1177	37	51	29	Test
South-Apulia	South	1413	197	206	6737	1387	34	60	31	Test
South-Apulia	South	1346	167	224	6959	1111	30	49	23	Test
South-Apulia	South	1330	157	228	7055	1108	42	55	25	Test
South-Apulia	South	1399	180	232	6855	1190	32	66	22	Test
South-Apulia	South	1269	157	193	7140	1148	31	40	18	Test
South-Apulia	South	1497	247	219	6621	1270	36	73	32	Test
South-Apulia	South	1419	203	176	6973	1083	38	78	27	Test
South-Apulia	South	1430	209	225	6800	1200	32	59	27	Test
South-Apulia	South	1515	226	257	6595	1287	41	63	16	Test
South-Apulia	South	1479	218	207	7039	887	36	65	36	Test
South-Apulia	South	1369	171	184	6937	1246	30	48	15	Test
South-Apulia	South	1447	236	245	6607	1336	33	51	21	Test
South-Apulia	South	1301	156	207	7003	1229	41	48	14	Test
South-Apulia	South	1482	178	197	6814	1201	40	64	24	Test
South-Apulia	South	1336	185	223	6956	1155	56	73	16	Test
South-Apulia	South	1355	144	214	6972	1198	33	60	24	Test
South-Apulia	South	1272	207	205	7152	1098	37	52	22	Test
South-Apulia	South	1263	155	199	7140	1148	31	42	18	Test
South-Apulia	South	1445	174	228	6875	1123	29	69	31	Test
South-Apulia	South	1422	181	218	6813	1230	30	59	21	Test
South-Apulia	South	1367	172	235	7066	1054	35	45	26	Test
South-Apulia	South	1469	160	337	6675	1127	44	94	36	Test
South-Apulia	South	1491	227	205	6941	988	33	68	34	Test
South-Apulia	South	1394	164	223	7086	1042	24	43	23	Test
South-Apulia	South	1360	163	176	6901	1280	28	65	27	Test
South-Apulia	South	1412	207	208	6822	1239	36	51	28	Test
South-Apulia	South	1476	187	203	6837	1197	36	48	22	Test
South-Apulia	South	1351	179	170	7034	1154	35	66	10	Test
South-Apulia	South	1392	186	256	6732	1278	53	64	29	Test
South-Apulia	South	1498	170	195	6804	1206	35	66	23	Test
South-Apulia	South	1380	173	188	7038	1139	31	44	14	Test
South-Apulia	South	1489	215	242	6777	1145	30	60	22	Test
South-Apulia	South	1323	157	234	7132	1022	38	58	31	Test
South-Apulia	South	1420	179	214	6923	1121	33	56	27	Test
South-Apulia	South	1341	160	231	7033	1069	40	67	33	Test
South-Apulia	South	1413	193	208	6875	1202	30	60	18	Test
South-Apulia	South	1472	218	214	6724	1238	29	53	23	Test
South-Apulia	South	1254	151	205	7319	947	28	54	23	Test
South-Apulia	South	1387	182	242	6913	1101	44	68	30	Test
South-Apulia	South	1419	192	207	6996	1014	36	70	36	Test
South-Apulia	South	1521	190	238	6956	986	36	50	23	Test
South-Apulia	South	1368	171	218	7010	1057	41	54	26	Test
Sicily	South	1339	170	275	6838	1060	46	88	43	Test
Sicily	South	1194	135	263	7277	889	44	95	41	Test
Sicily	South	1639	172	331	6510	1124	46	91	32	Test
Sicily	South	1222	130	214	7374	856	38	89	45	Test
Sicily	South	1262	88	301	7471	704	43	71	31	Test
Sicily	South	1153	74	316	7593	705	42	64	32	Test
Sicily	South	1491	162	211	6994	928	37	97	38	Test
Sicily	South	1327	140	193	7328	823	36	87	35	Test
Sicily	South	1105	69	373	7714	532	51	68	37	Test
Inland-Sardinia	Sardinia	1112	92	209	7356	1125	32	73	2	Test
Inland-Sardinia	Sardinia	1110	91	201	7318	1185	24	74	2	Test
Inland-Sardinia	Sardinia	1103	81	208	7310	1177	30	90	3	Test
Inland-Sardinia	Sardinia	1091	93	222	7377	1113	20	53	2	Test
Inland-Sardinia	Sardinia	1142	97	225	7341	1101	28	65	1	Test
Inland-Sardinia	Sardinia	1114	86	210	7359	1116	31	83	2	Test
Inland-Sardinia	Sardinia	1107	75	220	7399	1096	29	90	1	Test
Inland-Sardinia	Sardinia	1140	93	241	7324	1098	23	74	1	Test
Inland-Sardinia	Sardinia	1108	132	231	7319	1101	20	66	2	Test
Inland-Sardinia	Sardinia	1040	101	205	7368	1176	25	85	3	Test
Inland-Sardinia	Sardinia	1145	35	237	7208	1118	20	46	2	Test
Inland-Sardinia	Sardinia	1100	95	210	7320	1113	22	72	3	Test
Inland-Sardinia	Sardinia	1176	92	207	7347	1057	35	82	1	Test
Inland-Sardinia	Sardinia	1104	103	233	7322	1147	27	61	2	Test
Inland-Sardinia	Sardinia	1092	104	234	7355	1126	28	58	2	Test
Inland-Sardinia	Sardinia	1158	84	201	7327	1123	29	77	2	Test
Coast-Sardinia	Sardinia	1087	89	243	7200	1302	18	60	1	Test
Coast-Sardinia	Sardinia	1084	96	240	7164	1330	28	57	1	Test
Coast-Sardinia	Sardinia	1086	127	252	7159	1285	28	62	2	Test
Coast-Sardinia	Sardinia	1178	92	241	7006	1376	22	84	1	Test
Coast-Sardinia	Sardinia	1098	103	267	7135	1301	24	76	2	Test
Coast-Sardinia	Sardinia	1162	106	242	7025	1368	25	71	2	Test
Coast-Sardinia	Sardinia	1095	125	250	7120	1305	21	83	1	Test
Coast-Sardinia	Sardinia	1141	95	250	7035	1388	22	68	2	Test
East-Liguria	North	1180	80	250	7870	580	10	30	2	Test
East-Liguria	North	1170	100	280	7710	640	20	70	3	Test
East-Liguria	North	1170	80	230	7690	720	40	70	1	Test
East-Liguria	North	1160	70	250	7650	750	30	90	1	Test
East-Liguria	North	1120	100	260	7720	680	30	80	2	Test
East-Liguria	North	1130	100	240	7620	780	30	90	1	Test
East-Liguria	North	1150	70	220	7850	620	20	40	2	Test
East-Liguria	North	1150	80	240	7800	630	30	70	2	Test
East-Liguria	North	1140	50	200	7990	580	10	20	1	Test
East-Liguria	North	1200	90	240	7820	590	10	50	2	Test
East-Liguria	North	1020	80	250	7920	680	10	30	3	Test
East-Liguria	North	1190	80	270	7690	720	10	40	2	Test
West-Liguria	North	1120	90	300	7650	830	0	10	1	Test
West-Liguria	North	960	90	200	7810	940	0	0	2	Test
West-Liguria	North	1010	90	350	7480	1050	10	10	1	Test
West-Liguria	North	970	90	220	7700	1020	0	0	3	Test
West-Liguria	North	1120	130	250	7530	970	0	0	3	Test
West-Liguria	North	1070	100	230	7600	990	10	0	1	Test
West-Liguria	North	1020	90	260	7620	1010	0	0	3	Test
West-Liguria	North	1020	100	290	7620	960	0	10	2	Test
West-Liguria	North	1010	90	210	7720	970	0	0	2	Test
West-Liguria	North	1030	110	220	7760	980	0	0	2	Test
West-Liguria	North	1020	90	350	7620	920	10	0	3	Test
West-Liguria	North	1020	100	220	7530	1030	0	0	3	Test
Umbria	North	1070	75	188	7980	602	22	45	1	Test
Umbria	North	1080	70	188	7965	608	28	36	3	Test
Umbria	North	1085	70	180	7955	605	20	50	1	Test
Umbria	North	1100	55	198	7905	600	35	50	3	Test
Umbria	North	1095	50	210	7948	600	25	35	2	Test
Umbria	North	1105	55	200	7900	595	39	56	1	Test
Umbria	North	1095	58	198	7945	600	35	34	1	Test
Umbria	North	1055	60	175	7985	620	45	50	1	Test
Umbria	North	1105	15	198	8005	575	52	20	2	Test
Umbria	North	1085	60	188	7955	602	30	50	2	Test
Umbria	North	1110	50	205	7900	595	40	52	1	Test
