"Gender"	"Provinces"	"Periodo"	"Situation"	"value"
"Males"	"48 Bizkaia"	"2013Q4"	"employed"	234.5
"Females"	"48 Bizkaia"	"2013Q4"	"employed"	219
"Males"	"09 Burgos"	"2013Q4"	"employed"	83.6
"Females"	"09 Burgos"	"2013Q4"	"employed"	61.1
"Males"	"10 Cáceres"	"2013Q4"	"employed"	74.1
"Females"	"10 Cáceres"	"2013Q4"	"employed"	55.4
"Males"	"11 Cádiz"	"2013Q4"	"employed"	201.1
"Females"	"11 Cádiz"	"2013Q4"	"employed"	140.9
"Males"	"39 Cantabria"	"2013Q4"	"employed"	124.8
"Females"	"39 Cantabria"	"2013Q4"	"employed"	101.4
"Males"	"12 Castellón/Castelló"	"2013Q4"	"employed"	113.9
"Females"	"12 Castellón/Castelló"	"2013Q4"	"employed"	94.7
"Males"	"13 Ciudad Real"	"2013Q4"	"employed"	103.7
"Females"	"13 Ciudad Real"	"2013Q4"	"employed"	65.2
"Males"	"14 Córdoba"	"2013Q4"	"employed"	140.1
"Females"	"14 Córdoba"	"2013Q4"	"employed"	101.1
"Males"	"15 Coruña, A"	"2013Q4"	"employed"	220.5
"Females"	"15 Coruña, A"	"2013Q4"	"employed"	209.9
"Males"	"16 Cuenca"	"2013Q4"	"employed"	41.9
"Females"	"16 Cuenca"	"2013Q4"	"employed"	29.3
"Males"	"20 Gipuzkoa"	"2013Q4"	"employed"	154.9
"Females"	"20 Gipuzkoa"	"2013Q4"	"employed"	130.9
"Males"	"17 Girona"	"2013Q4"	"employed"	156.6
"Females"	"17 Girona"	"2013Q4"	"employed"	141.9
"Males"	"18 Granada"	"2013Q4"	"employed"	160.8
"Females"	"18 Granada"	"2013Q4"	"employed"	122.4
"Males"	"19 Guadalajara"	"2013Q4"	"employed"	57.7
"Females"	"19 Guadalajara"	"2013Q4"	"employed"	43.5
"Males"	"21 Huelva"	"2013Q4"	"employed"	96.9
"Females"	"21 Huelva"	"2013Q4"	"employed"	76.2
"Males"	"22 Huesca"	"2013Q4"	"employed"	47.8
"Females"	"22 Huesca"	"2013Q4"	"employed"	36.4
"Males"	"23 Jaén"	"2013Q4"	"employed"	119.7
"Females"	"23 Jaén"	"2013Q4"	"employed"	77
"Males"	"24 León"	"2013Q4"	"employed"	85.1
"Females"	"24 León"	"2013Q4"	"employed"	73.9
"Males"	"25 Lleida"	"2013Q4"	"employed"	103.9
"Females"	"25 Lleida"	"2013Q4"	"employed"	82.8
"Males"	"27 Lugo"	"2013Q4"	"employed"	67.9
"Females"	"27 Lugo"	"2013Q4"	"employed"	60.3
"Males"	"28 Madrid"	"2013Q4"	"employed"	1387.5
"Females"	"28 Madrid"	"2013Q4"	"employed"	1278.9
"Males"	"29 Málaga"	"2013Q4"	"employed"	265.9
"Females"	"29 Málaga"	"2013Q4"	"employed"	232
"Males"	"30 Murcia"	"2013Q4"	"employed"	296.2
"Females"	"30 Murcia"	"2013Q4"	"employed"	222.2
"Males"	"31 Navarra"	"2013Q4"	"employed"	143.2
"Females"	"31 Navarra"	"2013Q4"	"employed"	116.1
"Males"	"32 Ourense"	"2013Q4"	"employed"	53.7
"Females"	"32 Ourense"	"2013Q4"	"employed"	49.2
"Males"	"34 Palencia"	"2013Q4"	"employed"	35.5
"Females"	"34 Palencia"	"2013Q4"	"employed"	25.7
"Males"	"35 Palmas, Las"	"2013Q4"	"employed"	210.6
"Females"	"35 Palmas, Las"	"2013Q4"	"employed"	179.8
"Males"	"36 Pontevedra"	"2013Q4"	"employed"	181.5
"Females"	"36 Pontevedra"	"2013Q4"	"employed"	159.7
"Males"	"26 Rioja, La"	"2013Q4"	"employed"	69.2
"Females"	"26 Rioja, La"	"2013Q4"	"employed"	56.3
"Males"	"37 Salamanca"	"2013Q4"	"employed"	66.4
"Females"	"37 Salamanca"	"2013Q4"	"employed"	55.4
"Males"	"38 Santa Cruz de Tenerife"	"2013Q4"	"employed"	181
"Females"	"38 Santa Cruz de Tenerife"	"2013Q4"	"employed"	167.3
"Males"	"40 Segovia"	"2013Q4"	"employed"	37.1
"Females"	"40 Segovia"	"2013Q4"	"employed"	28
"Males"	"41 Sevilla"	"2013Q4"	"employed"	334.5
"Females"	"41 Sevilla"	"2013Q4"	"employed"	271.9
"Males"	"42 Soria"	"2013Q4"	"employed"	21.6
"Females"	"42 Soria"	"2013Q4"	"employed"	16.2
"Males"	"43 Tarragona"	"2013Q4"	"employed"	168.3
"Females"	"43 Tarragona"	"2013Q4"	"employed"	131.3
"Males"	"44 Teruel"	"2013Q4"	"employed"	30.3
"Females"	"44 Teruel"	"2013Q4"	"employed"	20.4
"Males"	"45 Toledo"	"2013Q4"	"employed"	140.6
"Females"	"45 Toledo"	"2013Q4"	"employed"	100.2
"Males"	"46 Valencia/València"	"2013Q4"	"employed"	504.7
"Females"	"46 Valencia/València"	"2013Q4"	"employed"	439.5
"Males"	"47 Valladolid"	"2013Q4"	"employed"	110.9
"Females"	"47 Valladolid"	"2013Q4"	"employed"	90.8
"Males"	"49 Zamora"	"2013Q4"	"employed"	32.5
"Females"	"49 Zamora"	"2013Q4"	"employed"	26.4
"Males"	"50 Zaragoza"	"2013Q4"	"employed"	205.1
"Females"	"50 Zaragoza"	"2013Q4"	"employed"	175.7
"Males"	"51 Ceuta"	"2013Q4"	"employed"	15.1
"Females"	"51 Ceuta"	"2013Q4"	"employed"	9.1
"Males"	"52 Melilla"	"2013Q4"	"employed"	14.3
"Females"	"52 Melilla"	"2013Q4"	"employed"	9.7
"Males"	"02 Albacete"	"2013Q3"	"employed"	79.1
"Females"	"02 Albacete"	"2013Q3"	"employed"	56.9
"Males"	"03 Alicante/Alacant"	"2013Q3"	"employed"	377.3
"Females"	"03 Alicante/Alacant"	"2013Q3"	"employed"	284.2
"Males"	"04 Almería"	"2013Q3"	"employed"	130.9
"Females"	"04 Almería"	"2013Q3"	"employed"	85.4
"Males"	"01 Araba/Álava"	"2013Q3"	"employed"	73.8
"Females"	"01 Araba/Álava"	"2013Q3"	"employed"	61.4
"Males"	"33 Asturias"	"2013Q3"	"employed"	197.1
"Females"	"33 Asturias"	"2013Q3"	"employed"	173.1
"Males"	"05 Ávila"	"2013Q3"	"employed"	36.8
"Females"	"05 Ávila"	"2013Q3"	"employed"	23.8
"Males"	"06 Badajoz"	"2013Q3"	"employed"	123.3
"Females"	"06 Badajoz"	"2013Q3"	"employed"	91.4
"Males"	"07 Balears, Illes"	"2013Q3"	"employed"	279.9
"Females"	"07 Balears, Illes"	"2013Q3"	"employed"	242.5
"Males"	"08 Barcelona"	"2013Q3"	"employed"	1141.4
"Females"	"08 Barcelona"	"2013Q3"	"employed"	1042.2
"Males"	"48 Bizkaia"	"2013Q3"	"employed"	241.4
"Females"	"48 Bizkaia"	"2013Q3"	"employed"	207
"Males"	"09 Burgos"	"2013Q3"	"employed"	84.8
"Females"	"09 Burgos"	"2013Q3"	"employed"	61.2
"Males"	"10 Cáceres"	"2013Q3"	"employed"	72.4
"Females"	"10 Cáceres"	"2013Q3"	"employed"	58
"Males"	"11 Cádiz"	"2013Q3"	"employed"	218
"Females"	"11 Cádiz"	"2013Q3"	"employed"	151.2
"Males"	"39 Cantabria"	"2013Q3"	"employed"	122
"Females"	"39 Cantabria"	"2013Q3"	"employed"	105.1
"Males"	"12 Castellón/Castelló"	"2013Q3"	"employed"	119
"Females"	"12 Castellón/Castelló"	"2013Q3"	"employed"	91.3
"Males"	"13 Ciudad Real"	"2013Q3"	"employed"	105.8
"Females"	"13 Ciudad Real"	"2013Q3"	"employed"	66.3
"Males"	"14 Córdoba"	"2013Q3"	"employed"	138.6
"Females"	"14 Córdoba"	"2013Q3"	"employed"	98.4
"Males"	"15 Coruña, A"	"2013Q3"	"employed"	225.6
"Females"	"15 Coruña, A"	"2013Q3"	"employed"	205.5
"Males"	"16 Cuenca"	"2013Q3"	"employed"	41.8
"Females"	"16 Cuenca"	"2013Q3"	"employed"	26
"Males"	"20 Gipuzkoa"	"2013Q3"	"employed"	151.2
"Females"	"20 Gipuzkoa"	"2013Q3"	"employed"	126.7
"Males"	"17 Girona"	"2013Q3"	"employed"	167.9
"Females"	"17 Girona"	"2013Q3"	"employed"	152.6
"Males"	"18 Granada"	"2013Q3"	"employed"	151.4
"Females"	"18 Granada"	"2013Q3"	"employed"	126.5
"Males"	"19 Guadalajara"	"2013Q3"	"employed"	56.7
"Females"	"19 Guadalajara"	"2013Q3"	"employed"	45.7
"Males"	"21 Huelva"	"2013Q3"	"employed"	90.4
"Females"	"21 Huelva"	"2013Q3"	"employed"	66.9
"Males"	"22 Huesca"	"2013Q3"	"employed"	51.3
"Females"	"22 Huesca"	"2013Q3"	"employed"	38.2
"Males"	"23 Jaén"	"2013Q3"	"employed"	108.3
"Females"	"23 Jaén"	"2013Q3"	"employed"	74.8
"Males"	"24 León"	"2013Q3"	"employed"	88.4
"Females"	"24 León"	"2013Q3"	"employed"	76.5
"Males"	"25 Lleida"	"2013Q3"	"employed"	104.2
"Females"	"25 Lleida"	"2013Q3"	"employed"	85.9
"Males"	"27 Lugo"	"2013Q3"	"employed"	69.6
"Females"	"27 Lugo"	"2013Q3"	"employed"	62.6
"Males"	"28 Madrid"	"2013Q3"	"employed"	1422.3
"Females"	"28 Madrid"	"2013Q3"	"employed"	1283.9
"Males"	"29 Málaga"	"2013Q3"	"employed"	272.4
"Females"	"29 Málaga"	"2013Q3"	"employed"	239.8
"Males"	"30 Murcia"	"2013Q3"	"employed"	297.5
"Females"	"30 Murcia"	"2013Q3"	"employed"	224.8
"Males"	"31 Navarra"	"2013Q3"	"employed"	145.3
"Females"	"31 Navarra"	"2013Q3"	"employed"	114.4
"Males"	"32 Ourense"	"2013Q3"	"employed"	53.5
"Females"	"32 Ourense"	"2013Q3"	"employed"	48.7
"Males"	"34 Palencia"	"2013Q3"	"employed"	37.1
"Females"	"34 Palencia"	"2013Q3"	"employed"	25.7
"Males"	"35 Palmas, Las"	"2013Q3"	"employed"	203.1
"Females"	"35 Palmas, Las"	"2013Q3"	"employed"	168.6
"Males"	"36 Pontevedra"	"2013Q3"	"employed"	185.5
"Females"	"36 Pontevedra"	"2013Q3"	"employed"	160.9
"Males"	"26 Rioja, La"	"2013Q3"	"employed"	69
"Females"	"26 Rioja, La"	"2013Q3"	"employed"	57.8
"Males"	"37 Salamanca"	"2013Q3"	"employed"	67.9
"Females"	"37 Salamanca"	"2013Q3"	"employed"	56.2
"Males"	"38 Santa Cruz de Tenerife"	"2013Q3"	"employed"	180.6
"Females"	"38 Santa Cruz de Tenerife"	"2013Q3"	"employed"	167.5
"Males"	"40 Segovia"	"2013Q3"	"employed"	37.7
"Females"	"40 Segovia"	"2013Q3"	"employed"	26.6
"Males"	"41 Sevilla"	"2013Q3"	"employed"	332.7
"Females"	"41 Sevilla"	"2013Q3"	"employed"	272.2
"Males"	"42 Soria"	"2013Q3"	"employed"	22.2
"Females"	"42 Soria"	"2013Q3"	"employed"	16.1
"Males"	"43 Tarragona"	"2013Q3"	"employed"	172
"Females"	"43 Tarragona"	"2013Q3"	"employed"	139.6
"Males"	"44 Teruel"	"2013Q3"	"employed"	29.4
"Females"	"44 Teruel"	"2013Q3"	"employed"	21.1
"Males"	"45 Toledo"	"2013Q3"	"employed"	140.1
"Females"	"45 Toledo"	"2013Q3"	"employed"	102.6
"Males"	"46 Valencia/València"	"2013Q3"	"employed"	477.2
"Females"	"46 Valencia/València"	"2013Q3"	"employed"	423.4
"Males"	"47 Valladolid"	"2013Q3"	"employed"	118.7
"Females"	"47 Valladolid"	"2013Q3"	"employed"	91
"Males"	"49 Zamora"	"2013Q3"	"employed"	33.5
"Females"	"49 Zamora"	"2013Q3"	"employed"	23.8
"Males"	"50 Zaragoza"	"2013Q3"	"employed"	207.9
"Females"	"50 Zaragoza"	"2013Q3"	"employed"	174.7
"Males"	"51 Ceuta"	"2013Q3"	"employed"	17.6
"Females"	"51 Ceuta"	"2013Q3"	"employed"	8.8
"Males"	"52 Melilla"	"2013Q3"	"employed"	13.4
"Females"	"52 Melilla"	"2013Q3"	"employed"	9.7
"Males"	"02 Albacete"	"2013Q2"	"employed"	76.7
"Females"	"02 Albacete"	"2013Q2"	"employed"	56.7
"Males"	"03 Alicante/Alacant"	"2013Q2"	"employed"	382.1
"Females"	"03 Alicante/Alacant"	"2013Q2"	"employed"	272.5
"Males"	"04 Almería"	"2013Q2"	"employed"	136.5
"Females"	"04 Almería"	"2013Q2"	"employed"	102.1
"Males"	"01 Araba/Álava"	"2013Q2"	"employed"	74.3
"Females"	"01 Araba/Álava"	"2013Q2"	"employed"	62.5
"Males"	"33 Asturias"	"2013Q2"	"employed"	189.7
"Females"	"33 Asturias"	"2013Q2"	"employed"	173.3
"Males"	"05 Ávila"	"2013Q2"	"employed"	34.4
"Females"	"05 Ávila"	"2013Q2"	"employed"	22.3
"Males"	"06 Badajoz"	"2013Q2"	"employed"	121.2
"Females"	"06 Badajoz"	"2013Q2"	"employed"	91.6
"Males"	"07 Balears, Illes"	"2013Q2"	"employed"	269.6
"Females"	"07 Balears, Illes"	"2013Q2"	"employed"	227.1
"Males"	"08 Barcelona"	"2013Q2"	"employed"	1131.2
"Females"	"08 Barcelona"	"2013Q2"	"employed"	1018.2
"Males"	"48 Bizkaia"	"2013Q2"	"employed"	238.5
"Females"	"48 Bizkaia"	"2013Q2"	"employed"	218.8
"Males"	"09 Burgos"	"2013Q2"	"employed"	83
"Females"	"09 Burgos"	"2013Q2"	"employed"	57.5
"Males"	"10 Cáceres"	"2013Q2"	"employed"	71.8
"Females"	"10 Cáceres"	"2013Q2"	"employed"	54.7
"Males"	"11 Cádiz"	"2013Q2"	"employed"	202.2
"Females"	"11 Cádiz"	"2013Q2"	"employed"	147.4
"Males"	"39 Cantabria"	"2013Q2"	"employed"	117.9
"Females"	"39 Cantabria"	"2013Q2"	"employed"	97.7
"Males"	"12 Castellón/Castelló"	"2013Q2"	"employed"	113.8
"Females"	"12 Castellón/Castelló"	"2013Q2"	"employed"	85.4
"Males"	"13 Ciudad Real"	"2013Q2"	"employed"	103.2
"Females"	"13 Ciudad Real"	"2013Q2"	"employed"	60.4
"Males"	"14 Córdoba"	"2013Q2"	"employed"	148.2
"Females"	"14 Córdoba"	"2013Q2"	"employed"	106.9
"Males"	"15 Coruña, A"	"2013Q2"	"employed"	227.6
"Females"	"15 Coruña, A"	"2013Q2"	"employed"	207.9
"Males"	"16 Cuenca"	"2013Q2"	"employed"	41.5
"Females"	"16 Cuenca"	"2013Q2"	"employed"	26.7
"Males"	"20 Gipuzkoa"	"2013Q2"	"employed"	153.5
"Females"	"20 Gipuzkoa"	"2013Q2"	"employed"	132.6
"Males"	"17 Girona"	"2013Q2"	"employed"	160.1
"Females"	"17 Girona"	"2013Q2"	"employed"	145.8
"Males"	"18 Granada"	"2013Q2"	"employed"	150.4
"Females"	"18 Granada"	"2013Q2"	"employed"	127.9
"Males"	"19 Guadalajara"	"2013Q2"	"employed"	57.4
"Females"	"19 Guadalajara"	"2013Q2"	"employed"	46.4
"Males"	"21 Huelva"	"2013Q2"	"employed"	97.5
"Females"	"21 Huelva"	"2013Q2"	"employed"	75.9
"Males"	"22 Huesca"	"2013Q2"	"employed"	50.2
"Females"	"22 Huesca"	"2013Q2"	"employed"	36.3
"Males"	"23 Jaén"	"2013Q2"	"employed"	106.2
"Females"	"23 Jaén"	"2013Q2"	"employed"	76.9
"Males"	"24 León"	"2013Q2"	"employed"	87.6
"Females"	"24 León"	"2013Q2"	"employed"	76.6
"Males"	"25 Lleida"	"2013Q2"	"employed"	101.2
"Females"	"25 Lleida"	"2013Q2"	"employed"	81.1
"Males"	"27 Lugo"	"2013Q2"	"employed"	66.7
"Females"	"27 Lugo"	"2013Q2"	"employed"	60.2
"Males"	"28 Madrid"	"2013Q2"	"employed"	1429.1
"Females"	"28 Madrid"	"2013Q2"	"employed"	1309.9
"Males"	"29 Málaga"	"2013Q2"	"employed"	266
"Females"	"29 Málaga"	"2013Q2"	"employed"	237.3
"Males"	"30 Murcia"	"2013Q2"	"employed"	292.6
"Females"	"30 Murcia"	"2013Q2"	"employed"	221.5
"Males"	"31 Navarra"	"2013Q2"	"employed"	140.9
"Females"	"31 Navarra"	"2013Q2"	"employed"	115.8
"Males"	"32 Ourense"	"2013Q2"	"employed"	55.3
"Females"	"32 Ourense"	"2013Q2"	"employed"	48.6
"Males"	"34 Palencia"	"2013Q2"	"employed"	37.4
"Females"	"34 Palencia"	"2013Q2"	"employed"	25.5
"Males"	"35 Palmas, Las"	"2013Q2"	"employed"	211
"Females"	"35 Palmas, Las"	"2013Q2"	"employed"	169.2
"Males"	"36 Pontevedra"	"2013Q2"	"employed"	182.9
"Females"	"36 Pontevedra"	"2013Q2"	"employed"	156.1
"Males"	"26 Rioja, La"	"2013Q2"	"employed"	66.6
"Females"	"26 Rioja, La"	"2013Q2"	"employed"	55.1
"Males"	"37 Salamanca"	"2013Q2"	"employed"	65.9
"Females"	"37 Salamanca"	"2013Q2"	"employed"	56.8
"Males"	"38 Santa Cruz de Tenerife"	"2013Q2"	"employed"	178
"Females"	"38 Santa Cruz de Tenerife"	"2013Q2"	"employed"	166.8
"Males"	"40 Segovia"	"2013Q2"	"employed"	37.8
"Females"	"40 Segovia"	"2013Q2"	"employed"	25.8
"Males"	"41 Sevilla"	"2013Q2"	"employed"	342
"Females"	"41 Sevilla"	"2013Q2"	"employed"	286.3
"Males"	"42 Soria"	"2013Q2"	"employed"	20.9
"Females"	"42 Soria"	"2013Q2"	"employed"	16.4
"Males"	"43 Tarragona"	"2013Q2"	"employed"	168.8
"Females"	"43 Tarragona"	"2013Q2"	"employed"	134.3
"Males"	"44 Teruel"	"2013Q2"	"employed"	30.7
"Females"	"44 Teruel"	"2013Q2"	"employed"	21.1
"Males"	"45 Toledo"	"2013Q2"	"employed"	142
"Females"	"45 Toledo"	"2013Q2"	"employed"	101.2
"Males"	"46 Valencia/València"	"2013Q2"	"employed"	483.5
"Females"	"46 Valencia/València"	"2013Q2"	"employed"	420.6
"Males"	"47 Valladolid"	"2013Q2"	"employed"	117.5
"Females"	"47 Valladolid"	"2013Q2"	"employed"	97.4
"Males"	"49 Zamora"	"2013Q2"	"employed"	33.7
"Females"	"49 Zamora"	"2013Q2"	"employed"	24.4
"Males"	"50 Zaragoza"	"2013Q2"	"employed"	205
"Females"	"50 Zaragoza"	"2013Q2"	"employed"	167.4
"Males"	"51 Ceuta"	"2013Q2"	"employed"	17
"Females"	"51 Ceuta"	"2013Q2"	"employed"	8.7
"Males"	"52 Melilla"	"2013Q2"	"employed"	14.2
"Females"	"52 Melilla"	"2013Q2"	"employed"	11.8
"Males"	"02 Albacete"	"2013Q1"	"employed"	72.9
"Females"	"02 Albacete"	"2013Q1"	"employed"	53.3
"Males"	"03 Alicante/Alacant"	"2013Q1"	"employed"	361.7
"Females"	"03 Alicante/Alacant"	"2013Q1"	"employed"	266.3
"Males"	"04 Almería"	"2013Q1"	"employed"	127.7
"Females"	"04 Almería"	"2013Q1"	"employed"	102.9
"Males"	"01 Araba/Álava"	"2013Q1"	"employed"	74.8
"Females"	"01 Araba/Álava"	"2013Q1"	"employed"	60.7
"Males"	"33 Asturias"	"2013Q1"	"employed"	196
"Females"	"33 Asturias"	"2013Q1"	"employed"	172.3
"Males"	"05 Ávila"	"2013Q1"	"employed"	33.8
"Females"	"05 Ávila"	"2013Q1"	"employed"	22.7
"Males"	"06 Badajoz"	"2013Q1"	"employed"	118.9
"Females"	"06 Badajoz"	"2013Q1"	"employed"	91.9
"Males"	"07 Balears, Illes"	"2013Q1"	"employed"	236.8
"Females"	"07 Balears, Illes"	"2013Q1"	"employed"	192.6
"Males"	"08 Barcelona"	"2013Q1"	"employed"	1138.1
"Females"	"08 Barcelona"	"2013Q1"	"employed"	1029.2
"Males"	"48 Bizkaia"	"2013Q1"	"employed"	243.1
"Females"	"48 Bizkaia"	"2013Q1"	"employed"	217
"Males"	"09 Burgos"	"2013Q1"	"employed"	81.5
"Females"	"09 Burgos"	"2013Q1"	"employed"	59.4
"Males"	"10 Cáceres"	"2013Q1"	"employed"	68.6
"Females"	"10 Cáceres"	"2013Q1"	"employed"	52.5
"Males"	"11 Cádiz"	"2013Q1"	"employed"	197.2
"Females"	"11 Cádiz"	"2013Q1"	"employed"	141
"Males"	"39 Cantabria"	"2013Q1"	"employed"	120.9
"Females"	"39 Cantabria"	"2013Q1"	"employed"	100.1
"Males"	"12 Castellón/Castelló"	"2013Q1"	"employed"	111.3
"Females"	"12 Castellón/Castelló"	"2013Q1"	"employed"	89.6
"Males"	"13 Ciudad Real"	"2013Q1"	"employed"	101.3
"Females"	"13 Ciudad Real"	"2013Q1"	"employed"	61.9
"Males"	"14 Córdoba"	"2013Q1"	"employed"	144.5
"Females"	"14 Córdoba"	"2013Q1"	"employed"	107.2
"Males"	"15 Coruña, A"	"2013Q1"	"employed"	230.3
"Females"	"15 Coruña, A"	"2013Q1"	"employed"	206.4
"Males"	"16 Cuenca"	"2013Q1"	"employed"	42.8
"Females"	"16 Cuenca"	"2013Q1"	"employed"	24.8
"Males"	"20 Gipuzkoa"	"2013Q1"	"employed"	152.2
"Females"	"20 Gipuzkoa"	"2013Q1"	"employed"	132.8
"Males"	"17 Girona"	"2013Q1"	"employed"	152.1
"Females"	"17 Girona"	"2013Q1"	"employed"	138.7
"Males"	"18 Granada"	"2013Q1"	"employed"	152
"Females"	"18 Granada"	"2013Q1"	"employed"	127.3
"Males"	"19 Guadalajara"	"2013Q1"	"employed"	57.9
"Females"	"19 Guadalajara"	"2013Q1"	"employed"	44.1
"Males"	"21 Huelva"	"2013Q1"	"employed"	85.4
"Females"	"21 Huelva"	"2013Q1"	"employed"	64.3
"Males"	"22 Huesca"	"2013Q1"	"employed"	51.2
"Females"	"22 Huesca"	"2013Q1"	"employed"	38.8
"Males"	"23 Jaén"	"2013Q1"	"employed"	105.9
"Females"	"23 Jaén"	"2013Q1"	"employed"	75.6
"Males"	"24 León"	"2013Q1"	"employed"	87.8
"Females"	"24 León"	"2013Q1"	"employed"	75.5
"Males"	"25 Lleida"	"2013Q1"	"employed"	102.5
"Females"	"25 Lleida"	"2013Q1"	"employed"	82.1
"Males"	"27 Lugo"	"2013Q1"	"employed"	64
"Females"	"27 Lugo"	"2013Q1"	"employed"	60.8
"Males"	"28 Madrid"	"2013Q1"	"employed"	1420.7
"Females"	"28 Madrid"	"2013Q1"	"employed"	1340.1
"Males"	"29 Málaga"	"2013Q1"	"employed"	253.4
"Females"	"29 Málaga"	"2013Q1"	"employed"	234.8
"Males"	"30 Murcia"	"2013Q1"	"employed"	283.9
"Females"	"30 Murcia"	"2013Q1"	"employed"	220.9
"Males"	"31 Navarra"	"2013Q1"	"employed"	142.1
"Females"	"31 Navarra"	"2013Q1"	"employed"	114.7
"Males"	"32 Ourense"	"2013Q1"	"employed"	55.6
"Females"	"32 Ourense"	"2013Q1"	"employed"	50.4
"Males"	"34 Palencia"	"2013Q1"	"employed"	35.1
"Females"	"34 Palencia"	"2013Q1"	"employed"	26.2
"Males"	"35 Palmas, Las"	"2013Q1"	"employed"	215.3
"Females"	"35 Palmas, Las"	"2013Q1"	"employed"	173.2
"Males"	"36 Pontevedra"	"2013Q1"	"employed"	182
"Females"	"36 Pontevedra"	"2013Q1"	"employed"	155.9
"Males"	"26 Rioja, La"	"2013Q1"	"employed"	68.2
"Females"	"26 Rioja, La"	"2013Q1"	"employed"	55.8
"Males"	"37 Salamanca"	"2013Q1"	"employed"	64.8
"Females"	"37 Salamanca"	"2013Q1"	"employed"	57.4
"Males"	"38 Santa Cruz de Tenerife"	"2013Q1"	"employed"	181.1
"Females"	"38 Santa Cruz de Tenerife"	"2013Q1"	"employed"	165.7
"Males"	"40 Segovia"	"2013Q1"	"employed"	36.2
"Females"	"40 Segovia"	"2013Q1"	"employed"	25.6
"Males"	"41 Sevilla"	"2013Q1"	"employed"	348.4
"Females"	"41 Sevilla"	"2013Q1"	"employed"	279.9
"Males"	"42 Soria"	"2013Q1"	"employed"	20.4
"Females"	"42 Soria"	"2013Q1"	"employed"	16
"Males"	"43 Tarragona"	"2013Q1"	"employed"	159.5
"Females"	"43 Tarragona"	"2013Q1"	"employed"	131
"Males"	"44 Teruel"	"2013Q1"	"employed"	31
"Females"	"44 Teruel"	"2013Q1"	"employed"	20.6
"Males"	"45 Toledo"	"2013Q1"	"employed"	141.9
"Females"	"45 Toledo"	"2013Q1"	"employed"	98.8
"Males"	"46 Valencia/València"	"2013Q1"	"employed"	507.4
"Females"	"46 Valencia/València"	"2013Q1"	"employed"	424.7
"Males"	"47 Valladolid"	"2013Q1"	"employed"	112.5
"Females"	"47 Valladolid"	"2013Q1"	"employed"	97.3
"Males"	"49 Zamora"	"2013Q1"	"employed"	32.8
"Females"	"49 Zamora"	"2013Q1"	"employed"	22.6
"Males"	"50 Zaragoza"	"2013Q1"	"employed"	200.7
"Females"	"50 Zaragoza"	"2013Q1"	"employed"	169.4
"Males"	"51 Ceuta"	"2013Q1"	"employed"	17.1
"Females"	"51 Ceuta"	"2013Q1"	"employed"	8.7
"Males"	"52 Melilla"	"2013Q1"	"employed"	15
"Females"	"52 Melilla"	"2013Q1"	"employed"	10.3
"Males"	"02 Albacete"	"2012Q4"	"employed"	75
"Females"	"02 Albacete"	"2012Q4"	"employed"	48.6
"Males"	"03 Alicante/Alacant"	"2012Q4"	"employed"	372.3
"Females"	"03 Alicante/Alacant"	"2012Q4"	"employed"	262.1
"Males"	"04 Almería"	"2012Q4"	"employed"	134
"Females"	"04 Almería"	"2012Q4"	"employed"	97.5
"Males"	"01 Araba/Álava"	"2012Q4"	"employed"	71.1
"Females"	"01 Araba/Álava"	"2012Q4"	"employed"	62.5
"Males"	"33 Asturias"	"2012Q4"	"employed"	199.2
"Females"	"33 Asturias"	"2012Q4"	"employed"	173.7
"Males"	"05 Ávila"	"2012Q4"	"employed"	36.8
"Females"	"05 Ávila"	"2012Q4"	"employed"	23.6
"Males"	"06 Badajoz"	"2012Q4"	"employed"	125.7
"Females"	"06 Badajoz"	"2012Q4"	"employed"	88.1
"Males"	"07 Balears, Illes"	"2012Q4"	"employed"	248.6
"Females"	"07 Balears, Illes"	"2012Q4"	"employed"	207.7
"Males"	"08 Barcelona"	"2012Q4"	"employed"	1143.3
"Females"	"08 Barcelona"	"2012Q4"	"employed"	1040.6
"Males"	"48 Bizkaia"	"2012Q4"	"employed"	245.6
"Females"	"48 Bizkaia"	"2012Q4"	"employed"	227.6
"Males"	"09 Burgos"	"2012Q4"	"employed"	88.7
"Females"	"09 Burgos"	"2012Q4"	"employed"	60.5
"Males"	"10 Cáceres"	"2012Q4"	"employed"	73
"Females"	"10 Cáceres"	"2012Q4"	"employed"	53.8
"Males"	"11 Cádiz"	"2012Q4"	"employed"	210.4
"Females"	"11 Cádiz"	"2012Q4"	"employed"	144.1
"Males"	"39 Cantabria"	"2012Q4"	"employed"	125.6
"Females"	"39 Cantabria"	"2012Q4"	"employed"	105
"Males"	"12 Castellón/Castelló"	"2012Q4"	"employed"	120.9
"Females"	"12 Castellón/Castelló"	"2012Q4"	"employed"	94.3
"Males"	"13 Ciudad Real"	"2012Q4"	"employed"	102.6
"Females"	"13 Ciudad Real"	"2012Q4"	"employed"	63.4
"Males"	"14 Córdoba"	"2012Q4"	"employed"	144.4
"Females"	"14 Córdoba"	"2012Q4"	"employed"	102.3
"Males"	"15 Coruña, A"	"2012Q4"	"employed"	232.8
"Females"	"15 Coruña, A"	"2012Q4"	"employed"	212.5
"Males"	"16 Cuenca"	"2012Q4"	"employed"	42.9
"Females"	"16 Cuenca"	"2012Q4"	"employed"	26.3
"Males"	"20 Gipuzkoa"	"2012Q4"	"employed"	156.2
